courseName,courseDescription,courseNumber
Environmental Hydrology,"All the rivers run into the ocean; yet the sea is not full; unto the place from whence the rivers come, thither they return again (Ecclesiastes 1:7-8). Hydrology is the study of water at or near the surface of the Earth. Modern society's demand for water from surface and groundwater sources to feed industrial, agricultural, municipal, recreational and other uses typically outstrips the supply, which has become increasingly more scarce due to the environmental degradation of existing water resources by the disposal of wastes. Thus no other discipline in the geological sciences has experienced such an explosion of interest and growth in recent years. This course investigates the physical properties of water, the hydrologic cycle, surface and groundwater processes, water quality issues, and other environmental concerns focusing on the quantitative aspects of hydrology. Project-based laboratories are mostly done in the field and analyzing/modeling data in the lab. Prerequisites: CHEM 280, GEO 184 and GEO 186, or permission of instructor. (Halfman, <em>Spring</em>, <em>offered occasionally</em>)",GEO 210
Assessments and IEPS,"This seminar focuses on the appropriate uses and limitations of some of the assessment tools used in special education. Alternate and adaptive assessment approaches are considered. Students are also introduced to the process of developing an IEP. (Kelly, <em>Spring</em>)",EDUC 073
Collaboration and Management,"This seminar investigates a variety of collaborative and management approaches effective teachers utilize. Students first explore the special education teacher's participation as a member of school district and building level interdisciplinary teams and as a team collaborator with general education teaching colleagues. Students then carefully consider the special education teacher's role as an advocate for students with special needs and their families. Finally, students examine classroom management strategies that promote a positive teaching-learning environment that supports all students. (Baker, <em>offered each semester</em>)",EDUC 074
Teaching for Equity,"This seminar establishes the foundations for effective teaching. As students develop keen observation skills they examine human development processes as manifested in classrooms. They explore the teacher's complex role as well as the social context of schools. They are introduced to learning processes as they relate to motivation, lesson planning, and classroom management, and they also study student diversity issues to insure that the needs of all students are met. In addition, the seminar outlines a framework for special education, IDEA, and curricular and instructional adaptation. (Collins, Hussain, Roberson, <em>Fall, offered annually</em>)",EDUC 081
Dialogues in Critical Social Studies,"We use social and cultural theory in our everyday lives but rarely very consciously. This course investigates ways in which hegemonic ""common sense(s)"" are constructed and changed, both in society and the academy, and the purposes they serve. The aim is to heighten awareness of personal, practical, and policy implications of social theory, and develop critical responses to it. (<em>Fall</em>)",BIDS 200
Business Law,"This course is the study of the basic law of contracts with emphasis on agency, negotiable instruments, property, etc. The system of courts is also studied. Prerequisite: ECON 160. (Kinne, <em>offered annually</em>)",ECON 198
Statistics,"This course offers an introduction to the methods of descriptive and inferential statistics that are most important in the study of economics. The intent of the course is to help students understand and apply these tools. The course includes basic descriptive statistics, probability distributions, sampling distributions, statistical estimation, and hypothesis testing, as well as an introduction to computer software for statistical analysis. Students complete a semester project in which they apply the tools taught in the course to generate, interpret, and discuss a statistical analysis of their own. Prerequisite: ECON 160. MATH 130 strongly recommended. (<em>Offered each semester</em>)",ECON 202
Economics of Education,"This course applies the tools of economic analysis to the issue of education in the United States. It will use both current events and economic and sociological literature to provide an introduction to various aspects of the topic such as the history of education and governance in the U.S., higher education as an investment decision, teacher quality and school type, and class and demographic issues (e.g., race, ethnicity, gender, inequality and the importance of family). Finally, the course will also evaluate the U.S. education system in relation to other countries. Prerequisite: ECON 160.",ECON 207
Hydrometeorology,"Water availability is vital to human survival. However, water can also be a destructive force of nature. This course will examine water from many perspectives with a particular emphasis on meteorological impacts of water. Key topics covered in this course will include floods, droughts, probabilistic forecasts of precipitation, summertime rain-producing convective systems, snowfall, evapotranspiration, and a general overview of the hydrologic cycle. Meteorologists often have trouble producing accurate precipitation forecasts, and even when the precipitation location can be accurately predicted, the precipitation amount is often in error. Students will examine the difficulties that water creates in the forecast cycle by utilizing numerical models and the current weather to understand the impact that water, or the lack thereof, has on atmospheric and environmental processes. Prerequisite: GEO 182. (Metz, <em>Fall, offered alternate years</em>)",GEO 215
Geomorphology,"We live on the thin surface of the earth, which is the interface between the lithosphere, biosphere, hydrosphere, and atmosphere. Geomorphology is the study of how these ""spheres"" interact and form the landscape we see around us. Through both descriptive and quantitative analysis, we will assess the scales and rates at which surface processes occur. Exploring the connection between modern processes and modern deposits is essential to deciphering the geologic record. We will explore the link between process, landform and deposit. We will evaluate fluvial, glacial, slope, eolian, weathering, and karst processes and the landforms that they produce and the deposits that are left behind. An understanding of surficial processes is critical to understanding the interaction of humans and their environment. Note: weekend field trips are required. (Curtin, <em>Fall, offered alternate years</em>)",GEO 220
Earth History,"This course develops the methods by which the Earth's history is deciphered. It looks at tectonics, sedimentary rocks and their structures, fossils and the fossil record, organic evolution, climate evolution, and various ways of delineating geologic time, using careful analysis of key moments from Earth's past. Laboratory work is centered on analysis of maps, structures, facies, and stratigraphy. Students will read and write extensively in the primary scientific literature. Mandatory weekend field trips are required. Prerequisite: GEO 184 or permission of the instructor. (Arens, <em>Fall, offered annually</em>)",GEO 230
Mineralogy,"Mineralogy is the study of the structure, chemistry, and origin of minerals. Since minerals are the basic components of all rocks and sediments and are commonly in chemical equilibrium with natural waters, an understanding of minerals is crucial to many fields in geoscience. This course introduces students to the chemical and physical properties of minerals, their occurrence in rocks, and their economic uses. It also familiarizes students with some of the most important minerals and the techniques used in their identification and characterization. Techniques covered include crystallographic, X-ray, spectroscopic, and optical microscopy. Laboratory. Prerequisites: GEO 184 and CHEM 110 (or concurrent enrollment). (McKinney, <em>offered annually</em>)",GEO 240
Oceanography,"This course serves as an introduction to basic oceanography, including physical, chemical, geological, and biological processes and patterns. Emphasis is placed on the physical, chemical and geologic structure of the oceans and their role in the carbon cycle, ocean circulation and global climate change, and the evolution of the oceans through geologic time. We will also explore the different environments of biological productivity from upwelling zones to mid-ocean ridges to coastal dynamics and their susceptibility to environmental change. Prerequisite: GEO 184 and CHEM 110 or instructor consent. (Finkelstein, <em>Spring, offered annually</em>)",GEO 250
Global Climates,"The climate of a particular region is defined by annual and seasonal temperature and precipitation variations. This course examines the physical characteristics, processes and controlling mechanisms of Earth's climate system and the patterns of its change across both space and time. Fundamentals of Earth's atmospheric composition, heat budget, circulation, clouds, and precipitation will be covered with a focus on global climate and regional climates. Prerequisite: GEO 182. (Laird, <em>Fall, offered annually</em>)",GEO 255
Weather Analysis,"Few things capture the public's attention and influence daily decisions like weather. In this course, we will examine day-to-day weather patterns with an emphasis on understanding the basics of meteorological processes and forecasting, independent analysis of weather events and mastery of hands-on data analysis. We will examine and discuss conceptual models of the structure of mid-latitude cyclones and convection weather systems, including the processes of cyclogenesis and frontogenesis. Interpretation of atmospheric kinematic and dynamic processes on weather charts is emphasized along with an introduction to weather predication. Prerequisite: GEO 182. (Metz, <em>Spring, offered annually</em>)",GEO 260
Polar Meteorology,"Polar regions are important areas in understanding and monitoring changes in the Earth's atmospheric environment and have some unique weather systems, as well as climate characteristics. Perhaps surprisingly to many, the polar atmosphere is governed by the same physical principles that operate in middle latitude and tropical regions. This course will use the context of the Arctic and Antarctic to introduce and discuss the thermodynamic, radiative, and precipitation processes in the atmosphere. Additional topics that will be discussed include Polar lows, interactions between the atmosphere, cryosphere, and ocean, and stratospheric ozone. Related to many of these topics, we will use current, relevant data sets and collect our own measurements in a local winter environment to compare to observations from Polar Regions. Prerequisite: GEO 215, GEO 255, or GEO 260. (Laird, <em>Spring, offered alternate years</em>)",GEO 262
Principles of Computer Science,"Designed to appeal to a diverse audience, this course examines some of the fundamental ideas of the science of computing within a particular topic area, which varies from semester to semester. Recent topics have included Graphics and Animation, Multimedia, Robots, and Web Site Development. This course is intended for students with no previous programming experience, and is appropriate for those who are interested in computer science as well as those who might not have considered computer science but are interested in a particular topic area. This course counts towards the major and minor in computer science but cannot be taken concurrently with or after completion of CPSC 124. No prerequisites. (<em>Offered every semester</em>)",CPSC 120
Introduction to Programming,"An introduction to the theory and practice of computer programming, the emphasis of this course is on techniques of program development within the object-oriented paradigm. Topics include control structures, objects, classes, inheritance, simple data structures, and basic concepts of software development. Currently, Java is the programming language used in the course. No previous programming experience is required. This course is intended for prospective majors or minors and those interested in a rigorous introduction to programming. This course has a required lab component, and is required for the major and minor in computer science. (<em>Offered every semester</em>)",CPSC 124
Introduction to Global Dance Forms,"This course introduces students to African and Caribbean culture by engaging in a variety of dance practices. This is a studio-based course. Students develop a theoretical framework of the dances studied through movement experiences, readings, writing assignments and class discussion. No prior dance experience or training is required.",DAN 110
Curriculum and Instruction,"In this seminar, students examine long-term curriculum development. After discussing curriculum theory students choose a theme in an area of the curriculum which they wish to explore and develop a ""curriculum project"" (short course or teaching unit) which could be used to teach their specific theme over a period of several weeks. Attention is given to aligning curricula with New York State Learning Standards and developing integrated curricula as well as adapting curricula for students with special needs. Students also examine a number of models of teaching. Groups of students are assigned different models of teaching, design lesson plans illustrating those models, and present those lessons for analysis. Assessment is also discussed in terms of the curriculum projects which students develop. (Collins, Gibbon, <em>offered each semester</em>)",EDUC 084
Protecting the Dignity and Safety of All Children,"This seminar focuses on three main areas of special need: substance abuse, identification and reporting of child abuse and maltreatment, and families in conflict. Students are informed about alcohol and other drugs, the physical and behavioral indicators of substance abuse, and mandated reporting procedures. The seminar provides an array of options for teachers who are confronted by problems raised by substance abuse. Students are given alternative means for creating safe and nurturing learning environments for all students, including instruction in fire and arson prevention, preventing child abduction, and providing safety education. Family dynamics, factors in the home, and the development of a sense of community and mutual respect are given special consideration. (Gibbon, <em>offered each semester</em>)",EDUC 085
Tutor Practicum I,"Tutor practica are completed by students during their two semesters in a teacher certification program. These practica provide students with field experiences in local classrooms. In addition to observing master teachers at work, tutors are expected to help individual students with academic work, monitor the completion of guided practice by students, and plan and teach lessons to small groups of students. These practica run concurrently with EDUC 081 and 082, and provide the field component for those seminars. (<em>Offered annually</em>)",EDUC 091
Environmental Economics,"The primary goal of this course is to apply basic micro-economic principles to understanding environmental issues and possible solutions. The course is structured around four basic questions: How much pollution is too much? Is government up to the job? How can we do better? How do we resolve global issues? Throughout the course, students move back and forth between theory and practice, learning how basic principles from economic theory can be applied to environmental questions and then looking at how these principles have been used to implement policy nationally and internationally. Prerequisite: ECON 120, ECON 160, or ENV 110 (Energy). (Drennen, <em>offered annually</em>)",ECON 212
Urban Economics,"As an introduction to the basic problems of urban areas in the United States at the present time, the course analyzes the hierarchy of cities in the U.S., market areas, and location. It then examines the economic issues concerned with urban housing, poverty, transportation, and finances. It has a policy orientation and concludes with a discussion of urban planning. Prerequisite: ECON 160, or permission of instructor. (Frishman, <em>offered alternate years</em>)",ECON 213
Introduction to Investments,"This course is meant as a broad introduction to U.S. financial markets (equity and capital) and instruments (stocks, bonds, etc.) and the related major financial theories (efficient markets, modern portfolio theory, behavioral finance) and models (capital asset pricing, dividend discount). Much of finance is highly quantitative and extremely abstract but the main focus of this course will be on understanding and then applying financial theory rather than on numerical calculations. Prerequisite: ECON 160. (Hamilton, <em>offered annually</em>)",ECON 218
Behavioral Finance,"Behavioral Finance studies how behavior impacts the decisions of individuals, investors, markets, and managers. Behavioral Finance is interdisciplinary in its approach borrowing from accounting, economics, statistics, psychology, and sociology. This course applies both analytical and quantitate methods use in finance to better understand how people make decisions and why biases associated with cognitive dissonance and heuristics, overconfidence, and emotion impact preference in the financial decision-making process. Students will consider these limitations to better understand why and how markets might be inefficient.",ECON 219
Women and International Development,"In this course we will examine the process of economic development in the global South from a gender perspective, and analyze the dialectic relationship between gender equality and empowerment of women, and economic development. We will examine the evolution of womens access to employment and productive resources such as land and credit. Particular attention will be paid to the theoretical and political debates around these issues in order to attain a better understanding of the meaning and measurement of womens empowerment and equality. Prerequisite: ECON 120 or 160. (Gul, <em>offered annually</em>)",ECON 227
History of Economic Thought,"This course surveys the growth of economic thought from 1500 to the 20th century, with special emphasis on the growth of ""scientific economics"" in Britain between 1770 and 1890. While the primary aim of the course is to trace analytical developments in economics, attention is also paid to the political and social environments in which economic theory evolved. This course provides helpful preparation for ECON 305. Prerequisites: ECON 160 (Staff, <em>offered alternate years</em>)",ECON 230
Comparative Economics,"This course looks at how different societies and cultures have chosen to organize themselves economically, how their key economic institutions function and how well they have performed over time. We will move away from the traditional capitalist versus socialist or command versus market split within comparative economics to also look at how different religious traditions have attempted to answer the age old questions of what, how, and for whom to produce as well as how increasing economic and financial integration (i.e., globalization) and financial crises have impacted economic systems worldwide. Prerequisite: ECON 160. (Khan, <em>offered annually</em>)",ECON 233
Introduction to Radical Political Economy,"This course provides an introduction to the economic thought of Karl Marx, to contemporary radical political economy, and to current debates in radical political economy. Topics include the theory of value, surplus value and exploitation, capital and its accumulation, and capital and crisis. Recent debates in socialist-feminist thought, the political economy of race, and ecofeminism are addressed. Prerequisite ECON 120 or 160. (Gul, <em>Fall, offered alternate years</em>)",ECON 236
Weather Measurements and Computing,"New atmospheric observation systems are being introduced frequently with the accelerated development of technology in today's world. This course will describe methods and instrumentation used to collect direct and remotely sensed observations of the atmosphere. Atmospheric remote sensing of clouds, precipitation, and air motion by weather radars and satellites will be examined through observation and data interpretation. The later portion of this course will explore scientific computing - important to working in most areas of science, especially meteorology. Students will be introduced to the basic concepts of programming and computation using Python and develop skills necessary for the reading, analyzing, and plotting of meteorological and climatic data. Prerequisites: GEO 182 and PHYS 150. (Laird, <em>Spring, offered alternate years</em>)",GEO 265
Paleoclimatology,"Paleoclimatology is the study of climate prior to the period of instrumentation. Understanding how and why climate changes is important for interpreting the geologic record and evaluating contemporary climate change. After an overview of Earth's modern ocean-atmosphere system and energy balance is presented, dating methods and techniques for reconstructing past climates are discussed. Field and lab projects may include working with existing paleoclimate datasets in addition to collecting and interpreting archives of climate change such as tree rings, bog and lake cores, and speleothems from the local area. Note: There are required weekend field trips. Prerequisites GEO 184 and GEO 186; or permission of instructor. (Curtin, <em>Spring, offered alternate years</em>)",GEO 270
Aqueous and Environmental Geochemistry,"Aqueous fluids are the agents of geologic change. They initiate and control many geologic processes because they are ubiquitous, mobile and chemically reactive. Chemical interaction between fluids and rock, soil, or aerosols have a direct bearing on topics such as acid deposition, drinking water quality, acid mine drainage, and the chemical evolution of the hydrologic cycle. Students examine the chemical and geological processes that govern the concentration levels of dissolved substances in aqueous systems. Projects completed during lecture and lab will emphasize the collection and analysis of surface or near surface waters and the interpretation and presentation of data. Note: There will be required weekend field trips. Prerequisites: GEO 184 and GEO 186, CHEM 110 or by permission of the instructor.",GEO 280
Paleontology,"This course examines the fossil record from the perspective of the questions that can be asked of it. How do fossils contribute to understanding patterns of evolution? What large-scale patterns of biological diversity are seen only from the vantage point of fossils? How does form give clues to function? What can be learned about Earth's past climates and environments from fossils? How do fossils tell time in the geologic record? The class answers these questions through a detailed study of the fossils themselves. Prerequisite: GEO 184. (Arens or Kendrick, <em>Spring, offered alternate years</em>)",GEO 290
Geoscience Field Studies,"The course is designed to introduce you to field-based scientific investigations in an intensive 2-week course. We will conduct several mapping and data collection projects that will provide you experience with field observations in areas of geology, meteorology, and climatology. Students completing the course receive one full course credit. The course is offered as credit/no credit and can be counted toward a Geoscience major or minor. (<em>Offered annually</em>)",GEO 299
Sediments and Sedimentary Rocks,"Sediments and sedimentary rocks are the most common of the geologic materials on the Earth's surface. Found in them are many of the raw materials used in our industrial society, the record of life in the past and the record of ancient environmental change. Laboratories involve the description, classification, correlation, and interpretation of sediments and sedimentary rocks. Note: There are required weekend field trips. Prerequisite: GEO 184. (Curtin, <em>Fall, offered alternate years</em>)",GEO 320
Limnology,"Limnology is the study of lakes from a chemical, biological, physical, and geological perspective. Topics include the thermal structure of lakes, lake optics, dissolved gases, biological nutrients, trace elements, plankton populations, food-chain dynamics, estuaries, and the origin and nature of lake basins. Freshwater and marine systems are contrasted, with Seneca Lake serving as an example of the former. The roles of planktonic life, input from rivers, and thermal stratification on the chemistry of Seneca Lake are explored. Special emphasis is placed on biological nutrient dynamics and environmental concerns. Weekly laboratories and a few weekend day-trips are conducted on Seneca Lake aboard The William Scandling, and selected Finger Lakes aboard the JB Snow. Prerequisites: CHEM 280, GEO 184 and GEO 186, or permission of instructor (Halfman, <em>Fall, offered annually</em>)",GEO 330
Stable Isotope Geochemistry,"Examination of principles governing the distribution and analysis of the stable isotopes of C,H,O,N, and S in geological and biological materials. We will explore their application in understanding geochemical, biological and chemical processes. These principles will be applied to processes and problems in climate change, ecology, food systems, limnology, oceanography and paleobiology. The interdisciplinary nature of course material will allow the application of stable isotopes as a monitor of reactions which will appeal to students with a variety of scientific backgrounds.",GEO 335
Petrology,"Petrology deals with the description, classification, and origin of rocks. Although the subject encompasses all classes of rocks, this course focuses principally on igneous and metamorphic rocks. Topics include the mineralogical and chemical makeup of the common rock types, crystal growth, and equilibrium in magnetic and metamorphic environments, the application of experimental studies to the interpretation of igneous and metamorphic rocks, and the origin of magmas. Laboratory work emphasizes the systematic description of rocks in hand specimen and thin section, and the interpretation of origin from mineralogy and texture. Laboratory and one extended field trip are required. Prerequisite: GEO 240. CHEM 280 is also recommended. (McKinney, <em>Fall, offered alternate years</em>)",GEO 340
Sustainable Communities,"This courseintroduces students to the concept of sustainable development as applied to real world communities. It will not only focus on the United Nation's three ""interdependent and mutually reinforcing pillars"" of sustainable development- economic development, social development, and environmental protection-but also will touch on intertwined subjects such asindividual and collective responsibilities, community planning, and environmental justice. Case studies will be used to discern how individuals, cities, and towns are working to become more sustainable. This course can substitute for the ENV 110 requirement. (Lewis, Mauer, <em>offered annually</em>)",ENV 101
Topics in Environmental Studies,"Our introductory requirement emphasizes the interdisciplinary nature of selected pressing environmental issues. Each semester a variety of sections of this introductory requirement is available, each with its own environmental topic. The current topics include: Biodiversity, Energy, Sense of Place, Water, and Global Climate Change. Their individual descriptions are found below. ENV 110 is not open to juniors and seniors. Juniors and seniors who have not taken this course are required to replace this required course with any other ES Core course. (Staff, <em>offered each semester</em>)",ENV 110
Introduction to Computer Architecture,"A broad introduction to computer architecture, this course shows students how computers really work and how millions of transistors come together to form a complete computing system. Topics covered include transistors, logic gates, basic processor components, memory, input/output devices, and low-level machine instructions. This course has a required lab component, and is required for the major in computer science. Prerequisite: CPSC 124. (<em>Offered annually</em>)",CPSC 220
Intermediate Programming,"This course builds on CPSC 124, covering some of the more advanced fundamentals of programming including basic data structures (such as lists, stacks and queues, binary trees, and hash tables), recursion, common algorithms (such as searching and sorting), and generic programming. This course also looks more deeply at object-oriented programming, including the use of class hierarchies. Currently, the course is taught using the Java programming language. This course has a required lab component and is required for the major and minor in computer science. Prerequisite: CPSC 124. (<em>Offered annually</em>)",CPSC 225
Embedded Computing,"Small, inexpensive, powerful, and pervasive computers have fostered a revolution in our daily lives. This course makes this revolution tangible through basic electronics theory, building electronic circuits, implementing logic gates and combinatorial circuits, and ultimately designing systems employing microprocessors and peripherals. Practical projects are emphasized, such as designing, building, and programming a microprocessor-controlled mobile robot. Prerequisites: CPSC 225 or permission of the instructor. (<em>Offered alternate years</em>)",CPSC 226
Foundations of Computation,"This course introduces students to some of the mathematical and theoretical foundations of computer science, and to their practical applications to computing. Topics include propositional and predicate logic, sets and functions, formal languages, finite automata, regular expressions, grammars, and Turing machines. This course is required for the major in computer science. Prerequisite: CPSC 124. (<em>Offered annually</em>)",CPSC 229
Dance Ensemble,"Enrollment in this course is by audition only and requires participation in the faculty dance concert in April. This course follows the creation and performance of dance choreography from audition through final performance. Enrollment is by audition only; auditions are typically held in the fall prior to spring term registration. Students cast in Dance Ensemble learn new or repertory choreography created by dance faculty or guest artists and are frequently active participants in the choreographic process. In addition to developing performance skills, students are introduced to technical theatrical design concepts and are expected to complete pre- and post-production assignments. Concurrent registration in a dance technique course is required. (<em>Spring, offered annually</em>)",DAN 140
Dance Composition I,"This is an introductory course in the art and craft of creating dances. Techniques to nurture the individual creative process are explored, including movement improvisation, visual art imagery, chance procedures, musical influences, poetic imagery, and prop and costume studies. The course culminates in each student's presentation of a substantial composition. This course has a multi-disciplinary focus and is open to all students interested in the arts and creative process. (Davenport/Williams, <em>Fall, offered alternate years</em>)",DAN 200
Dance History I,"This course examines the development of Western theatrical dance from early social dance forms through the flowering of ballet in the 19th century. An emphasis is placed on recognizing how social, political, economic and religious environments and attitudes influenced dance, and were in turn influenced by dance. The course format consists of faculty lecture, student presentations, film and video viewing, and studio workshops. (Williams, <em>Fall, offered alternate years</em>)",DAN 210
Dance History II,"This course examines the development of theatrical dance from the late 1800s through the mid-20th century. A special focus of the course is the rise of modern dance and the women who were its creators: Loie Fuller, Isadora Duncan, and Ruth St. Denis, and the women pioneers who followed: Martha Graham, Doris Humphrey, Mary Wigman, and Hanya Holm. Modern Dance developed in America and was greatly influenced by a spirit of rebellion and feminist reform movements; it continues to be associated with social, artistic, and political reform movements in a global context. The course traces the development of modern dance through the tumultuous 1960s, and looks at the changing definitions of modern dance into contemporary times. (Williams, <em>Spring, offered alternate years</em>)",DAN 212
20th Century Dance History,"This course is designed to examine contemporary trends in concert dance and to look critically at how ""post modern dance"" evolved from the revolutions in culture and aesthetics of the 1960's, when all the arts underwent tremendous change. Rather than presenting a chronological catalogue of dancers and choreographers, my goal is to make visible and articulate issues of concern for contemporary choreographers: the ways in which gender is constructed and performed in dance; how racial, social, physical, sexual and aesthetic identities are configured and/or displayed; the myriad ways in which technology is changing our definitions of dance and dances, and how the multiple influences of community, society and culture in a trans-global world shape our ideas about dance, dancers, and choreography. (Williams, <em>Fall, offered alternate years</em>)",DAN 214
Anatomy and Kinesiology,"This course covers human skeletal and muscular anatomy and its relationship to movement skills and postural alignment. Once the basic skeletal and muscular anatomy is understood, the course focuses on analysis of action, with particular attention on the action of gravity and its effect on posture and muscular function. Additionally, the course focuses on principles of alignment, conditioning, and injury prevention. The course material is relevant to students interested in the areas of physical therapy, physical education, athletic training, human biology, and other movement sciences. (<em>Fall, offered annually</em>)",DAN 225
Tutor Practicum II,"Tutor practica are completed by students during their two semesters in a teacher certification program. These practica provide students with field experiences in local classrooms. In addition to observing master teachers at work, tutors are expected to help individual students with academic work, monitor the completion of guided practice by students, and plan and teach lessons to small groups of students. These practica run concurrently with EDUC 081 and 082, and provide the field component for those seminars. (<em>Offered annually</em>)",EDUC 092
Assistant Teacher Practicum,"Assistant teacher practica are completed by students during their third and fourth semesters in a teacher certification program. These practica provide students with field experiences in local classrooms. Students are required to spend at least three hours a week (for the entire semester) working as assistant teachers in local classrooms. Assistant teachers are expected to teach lessons to small groups of students and to help individuals as needed. While taking on further responsibility for the entire classroom, they are expected to teach an increasing number of large group lessons. These practica run concurrently with EDUC 083 and 084, and provide the field component for those seminars. (<em>Offered annually</em>)",EDUC 095
Introduction to Linguistics,"This course provides an introduction to the scientific study of language. We will address questions related to the nature of language as a means of communication, and then focus on the core areas in linguistic analysis, including phonetics and phonology (the structure and patterns of sounds), morphology (word structures), syntax (sentence structure), semantics (meanings of words), and pragmatics (words in use). We will also briefly discuss topics in language variation, consider the importance and types of data in linguistics, and identify implications for education. (Roberson, <em>offered alternate years</em>)",EDUC 115
Race Dialogues for Community and Change,"""Race Dialogues for Community and Change"" puts Hobart and William Smith (HWS) students and Geneva School (GHS) students in critical dialogue about race, community and social justice. Both GHS and HWS students will participate in weekly conversations that address issues of race and racism and develop a civic program for community action. Participants will learn a language and capacity for dialogue by which to reflect upon and learn about self and others and they will identify and plan individual and collective actions to empower and engage students on HWS and GHS campuses. This service-learning course will meet at Geneva High School.",EDUC 170
Philosophy of Education,"This course is designed to help students articulate and critically examine their own philosophical notions of education. It addresses questions such as: What is education? What are the aims of education? What does it mean to be educated? What are the processes of education? What should be the relationship between education and society? Throughout the course, an emphasis is placed upon conceptual analysis of the problems of education in terms of contemporary educational practice. This course is run as a seminar; with the guidance of the instructor, students are responsible for preparing and presenting units of study to be discussed by the entire class. (Collins, <em>offered alternate years</em>)",EDUC 200
Schooling and Social Equality,"This course traces a social and political history of American schooling. Beginning with the meteoric rise of formal schooling in the 19th century, the course examines how the common schooling movement radically transformed the economic and political significance of education in America. Next the course follows the schooling experiences of groups systemically targeted by policy makers: European immigrant, working class, Indigenous, Chicano/a, Black, new immigrant and women of each group. We shall seek to understand the significance of schooling for various communities as well as the reforms produced from resistance and contestation. (Hussain, <em>offered alternate years</em>)",EDUC 201
Human Growth and Development,"This is a survey of the major theories of human development. Topics include the progression and determinants of the development of personality, intelligence, language, social competence, literacy, and artistic and music ability. Readings are taken from works by Freud, Erikson, Piaget, Gardner, Gilligan, and others. (Harris, <em>Fall</em>)",EDUC 202
Children With Disabilities,The intent of this course is for students to develop a thorough understanding of and sensitivity to children and youth who experience disabilities. The course examines the following questions: How does society determine who is disabled? What impact does labeling have on children's lives? How special is special education? What are the various disabilities children may experience? How do children with disabilities fit in the mainstream of American life? (<em>Offered annually</em>),EDUC 203
Gender and Schooling,"This course examines the entanglement of gendered identities and the educational experience. This course will address questions of how educational institutions operate as sites for the production and reinforcement of gender norms. We will examine how the gendered positions of teachers and students shape the educational experience and investigate how gender inequalities impact educational achievement. Through a variety of readings this course will ask students to address how gender operates within school settings, how gender and sexuality are shaped by educational institutions, and how scholars, teachers, and youth might work to address these inequalities.",EDUC 209
International Trade,"This course provides an introduction to the theory of gains from trade, comparative advantage and international monetary relations using the analytical tools of micro-and macroeconomics acquired in ECON 160 Principles of Economics. It uses this theory to examine issues such as protectionism, economic integration (e.g., NAFTA and the European Union), and international investment, with an emphasis on how economic and financial relations among countries have very different consequences for different groups of people. Prerequisite: ECON 160. (J. McKinney and Tessendorf, <em>offered each semester</em>)",ECON 240
Political Economics of Race,"Persistent racial inequalities in income and wealth remain a fact of life in the USA and throughout the Americas. In this course, we explore the interaction between race, gender, and ethnicity in labor and product markets, and we consider the theory and evidence for present-day debates over discrimination and policies such as affirmative action. Finally, we examine how different understandings of race color economic theories that seek to explain differences in economic outcomes. Prerequisite: ECON 160. (Staff, <em>offered annually</em>)",ECON 243
Political Economics of Food and Agriculture,"This course provides an overview of the global food economy - its development, current issues and problems, alternatives and policy options. Students will learn about the following: (1) the interrelated sets of processes by which food is produced, transformed by processing, distributed for purchase, and consumed: (2) problems and debates associated with these processes; (3) solutions and alternative food practices and policies. Questions addressed include: What is the role of the food system in social development, industrialization, and economic growth? How is food produced and what are the impacts of different production systems? What are the global patterns of food consumption, security, and trade? How do government policies shape the global patterns of food consumption, security, and trade? How do government policies shape the global food system? How might alternative policies and movements generate solutions to world food problems?",ECON 245
Poverty and Welfare,"Poverty amidst wealth is a troubling feature of the American economy. Economists and other social scientists have offered various explanations for it. This course looks into the nature and extent of poverty, theories of its causes, and the range of public policies aimed at easing or ending poverty. Prerequisite: ECON 120 or 160. (Greenstein, offered annually)",ECON 248
Economics and the Arts,"The purpose of this course is to apply economic theory and research methods to issues and problems in understanding the arts. Topics include decisions about pricing, input utilization, marketing, market integration, and government policy. The complementarity and/or competitiveness of high arts and popular arts are considered. Attention is given to the problems of funding and of balancing (or even identifying objectives) for efficient management of non-profit arts institutions. The possible roles of government in the arts are explored.",ECON 251
Macroeconomic Theory and Policy,"This course examines in detail the major elements of aggregate economic analysis. The major focus is on the development of theoretical economic models that examine the interrelationships within the economic system. Once these models have been developed, they are used extensively to examine the current macroeconomic problems in the economic system, e.g., inflation, unemployment, economic growth, international balance of payments, the business cycle, and others. Prerequisite: ECON 160, one 200 level topics/issues course, and MATH 130 or equivalent. (<em>Offered each semester</em>)",ECON 300
Econometrics,"The subject of this course, broadly speaking, is regression analysis. After a brief review of the simple linear model, the course develops the theoretical framework for the multivariate linear model. Various special topics are studied while students complete individual research projects that demonstrate comprehension of the steps in conducting an econometric analysis. Prerequisites: ECON 202 and ECON 300 or ECON 301. (<em>Offered each semester</em>)",ECON 304
Political Economy,"This course analyzes alternative ways of understanding economics and political economy. It investigates debates on economic theory and discourse within a broad context of critical issues in the foundations and development of the social sciences. Theoretical foundations of major schools of economic thought (e.g., neoclassical, Keynesian, Marxist) are explored, as well as questions of ideology and method in economic thought. Feminist economics is introduced. Prerequisites: ECON 300 and ECON 301, or permission of the instructor. (<em>Offered each semester</em>)",ECON 305
